tag|(noun) a game in which one player chases the others and tries to touch one to make him it.
collegiate|(adjective) designed for the use or relevant to the life of university students often on the nonacademic side.
revanche|(noun) revenge; especially : the policy of a government intent on the recovery of lost territory.
aubergine|(noun) a variable color averaging a blackish purple.
aerodynamic|(adjective) of or relating to the science that treats of the motion of air and other gaseous fluids and of the forces acting on bodies in motion relative to such fluids.
circadian|(adjective) being, having, characterized by, or occurring in approximately 24-hour periods or cycles (as of biological activity or function).
epizootic|(adjective) of or relating to a disease affecting many animals of one kind at the same time.
seraphic|(adjective) of or relating to an angel of the highest order : sublime, pure.
arraignment|(noun) the act or the state of being called to the bar of a court to answer to the charge of an indictment.
cephalopod|(noun) any of a class of marine mollusks including the squids, cuttlefishes, and octopuses all having around the front of the head a group of elongated muscular arms usually furnished with prehensile suckers or hooks.
chiffonade|(noun) shredded or finely cut vegetables used in soup or salad dressing.
roustabout|(noun) an unskilled or semiskilled laborer.
accoutrement; accouterment|(noun) any article of equipment or dress especially when used merely as an accessory.
aphasia|(noun) the loss or impairment of the power to use words as symbols of ideas that results from a brain lesion.
ventriloquy|(noun) the act of speaking in such a manner that the voice appears to come from some source other than the speaker and especially with little or no movement of the lips.
portmanteau|(noun) a word composed of parts or all of two words and characterized frequently by single occurrence of one or more sounds or letters that appear in both the words.
Freudian|(adjective) of, relating to, or according with the theories of Austrian neurologist Sigmund Freud and his system of psychoanalysis.
bourgeois|(adjective) of, belonging to, or characteristic of the townspeople or of the social middle class.
velociraptor|(noun) a dinosaur having a long head with a flat snout and a large sickle-shaped claw on the second toe of each foot.
hoi polloi|(plural noun) ordinary people : the general populace : multitude, masses.
scintillation|(noun) rapid changes in the brightness of a celestial body caused by turbulence in Earth's atmosphere: twinkling.
fait accompli|(noun) a thing accomplished and presumably irreversible.
dirndl|(noun) a dress style marked by a tight bodice, short sleeves, low neck, and gathered skirt and copied from Alpine peasant costumes.
sotto voce|(adverb) under the breath : in an undertone.
fêng shui|(noun) a system of geomancy employed in China to bring practice into harmony with natural forces.
